State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
California,Los Angeles,6,37,10-03-1980,106,Unhealthy for Sensitive Groups,NO2,06-037-1201,14
California,Los Angeles,6,37,11-03-1980,89,Moderate,NO2,06-037-1601,14
California,Los Angeles,6,37,12-03-1980,100,Moderate,NO2,06-037-1201,14
California,Los Angeles,6,37,13-03-1980,150,Unhealthy for Sensitive Groups,Ozone,06-037-1004,14
California,Los Angeles,6,37,14-03-1980,154,Unhealthy,Ozone,06-037-1004,14
California,Los Angeles,6,37,15-03-1980,156,Unhealthy,Ozone,06-037-1004,14
California,Los Angeles,6,37,16-03-1980,143,Unhealthy for Sensitive Groups,Ozone,06-037-0002,14
California,Los Angeles,6,37,17-03-1980,108,Unhealthy for Sensitive Groups,NO2,06-037-1301,14
California,Los Angeles,6,37,18-03-1980,89,Moderate,NO2,06-037-4002,14
California,Los Angeles,6,37,19-03-1980,123,Unhealthy for Sensitive Groups,CO,06-037-8001,14
California,Los Angeles,6,37,20-03-1980,143,Unhealthy for Sensitive Groups,Ozone,06-037-1004,14
California,Los Angeles,6,37,21-03-1980,94,Moderate,CO,06-037-8001,14
California,Los Angeles,6,37,22-03-1980,100,Moderate,NO2,06-037-1002,14
California,Los Angeles,6,37,23-03-1980,93,Moderate,Ozone,06-037-0002,14
California,Los Angeles,6,37,24-03-1980,100,Moderate,NO2,06-037-1002,14
California,Los Angeles,6,37,25-03-1980,95,Moderate,CO,06-037-8001,14
California,Los Angeles,6,37,26-03-1980,109,Unhealthy for Sensitive Groups,CO,06-037-8001,14
California,Los Angeles,6,37,27-03-1980,105,Unhealthy for Sensitive Groups,NO2,06-037-1201,14
California,Los Angeles,6,37,28-03-1980,151,Unhealthy,Ozone,06-037-0002,14
California,Los Angeles,6,37,29-03-1980,156,Unhealthy,Ozone,06-037-1004,14
California,Los Angeles,6,37,30-03-1980,156,Unhealthy,Ozone,06-037-1004,14
California,Los Angeles,6,37,31-03-1980,89,Moderate,NO2,06-037-2401,14
California,Los Angeles,6,37,01-04-1980,57,Moderate,NO2,06-037-2401,14
California,Los Angeles,6,37,02-04-1980,100,Moderate,NO2,06-037-1201,14
California,Los Angeles,6,37,03-04-1980,105,Unhealthy for Sensitive Groups,Ozone,06-037-1004,14
California,Los Angeles,6,37,04-04-1980,156,Unhealthy,Ozone,06-037-1701,15
California,Los Angeles,6,37,05-04-1980,85,Moderate,CO,06-037-1002,15
California,Los Angeles,6,37,06-04-1980,77,Moderate,Ozone,06-037-1004,15
California,Los Angeles,6,37,07-04-1980,166,Unhealthy,Ozone,06-037-1104,15
California,Los Angeles,6,37,08-04-1980,136,Unhealthy for Sensitive Groups,Ozone,06-037-0002,15
California,Los Angeles,6,37,09-04-1980,140,Unhealthy for Sensitive Groups,Ozone,06-037-0002,15
California,Los Angeles,6,37,10-04-1980,205,Very Unhealthy,Ozone,06-037-1004,15
California,Los Angeles,6,37,11-04-1980,157,Unhealthy,Ozone,06-037-1004,15
California,Los Angeles,6,37,12-04-1980,143,Unhealthy for Sensitive Groups,Ozone,06-037-0002,15
California,Los Angeles,6,37,13-04-1980,169,Unhealthy,Ozone,06-037-7001,15
California,Los Angeles,6,37,14-04-1980,207,Very Unhealthy,Ozone,06-037-1004,15
California,Los Angeles,6,37,15-04-1980,237,Very Unhealthy,Ozone,06-037-1004,15
California,Los Angeles,6,37,16-04-1980,269,Very Unhealthy,Ozone,06-037-1601,15
California,Los Angeles,6,37,17-04-1980,289,Very Unhealthy,Ozone,06-037-1004,15
California,Los Angeles,6,37,18-04-1980,275,Very Unhealthy,Ozone,06-037-0002,15
California,Los Angeles,6,37,19-04-1980,297,Very Unhealthy,Ozone,06-037-1004,15
California,Los Angeles,6,37,20-04-1980,150,Unhealthy for Sensitive Groups,Ozone,06-037-7001,15
California,Los Angeles,6,37,21-04-1980,57,Moderate,NO2,06-037-1601,15
California,Los Angeles,6,37,22-04-1980,68,Moderate,NO2,06-037-1201,15
California,Los Angeles,6,37,23-04-1980,89,Moderate,NO2,06-037-1301,15
California,Los Angeles,6,37,24-04-1980,103,Unhealthy for Sensitive Groups,NO2,06-037-1103,15
California,Los Angeles,6,37,25-04-1980,177,Unhealthy,Ozone,06-037-1401,15
California,Los Angeles,6,37,26-04-1980,205,Very Unhealthy,Ozone,06-037-0002,15
California,Los Angeles,6,37,27-04-1980,126,Unhealthy for Sensitive Groups,Ozone,06-037-0002,15
California,Los Angeles,6,37,28-04-1980,82,Moderate,CO,06-037-8001,15
California,Los Angeles,6,37,29-04-1980,89,Moderate,NO2,06-037-1103,15
California,Los Angeles,6,37,30-04-1980,57,Moderate,NO2,06-037-1701,15
California,Los Angeles,6,37,01-05-1980,89,Moderate,NO2,06-037-1701,15
California,Los Angeles,6,37,02-05-1980,108,Unhealthy for Sensitive Groups,Ozone,06-037-1004,15
California,Los Angeles,6,37,03-05-1980,205,Very Unhealthy,Ozone,06-037-0002,15
California,Los Angeles,6,37,04-05-1980,200,Unhealthy,Ozone,06-037-1701,15
California,Los Angeles,6,37,05-05-1980,177,Unhealthy,Ozone,06-037-1004,15
California,Los Angeles,6,37,06-05-1980,221,Very Unhealthy,Ozone,06-037-1401,15
California,Los Angeles,6,37,07-05-1980,93,Moderate,Ozone,06-037-7001,15
California,Los Angeles,6,37,08-05-1980,105,Unhealthy for Sensitive Groups,NO2,06-037-1004,15
California,Los Angeles,6,37,09-05-1980,100,Moderate,NO2,06-037-1004,15
California,Los Angeles,6,37,10-05-1980,57,Moderate,NO2,06-037-1002,15
California,Los Angeles,6,37,11-05-1980,61,Moderate,Ozone,06-037-1201,15
California,Los Angeles,6,37,12-05-1980,74,Moderate,Ozone,06-037-1201,15
California,Los Angeles,6,37,13-05-1980,84,Moderate,Ozone,06-037-7001,15
California,Los Angeles,6,37,14-05-1980,68,Moderate,NO2,06-037-1002,15
California,Los Angeles,6,37,15-05-1980,122,Unhealthy for Sensitive Groups,Ozone,06-037-1201,15
California,Los Angeles,6,37,16-05-1980,221,Very Unhealthy,Ozone,06-037-0002,15
California,Los Angeles,6,37,17-05-1980,281,Very Unhealthy,Ozone,06-037-1401,15
California,Los Angeles,6,37,18-05-1980,268,Very Unhealthy,Ozone,06-037-1401,15
California,Los Angeles,6,37,19-05-1980,295,Very Unhealthy,Ozone,06-037-1201,15
California,Los Angeles,6,37,20-05-1980,190,Unhealthy,Ozone,06-037-7001,15
California,Los Angeles,6,37,21-05-1980,79,Moderate,NO2,06-037-1002,15
California,Los Angeles,6,37,22-05-1980,79,Moderate,NO2,06-037-1002,15
California,Los Angeles,6,37,23-05-1980,57,Moderate,NO2,06-037-1002,15
California,Los Angeles,6,37,24-05-1980,93,Moderate,Ozone,06-037-1201,15
California,Los Angeles,6,37,25-05-1980,84,Moderate,Ozone,06-037-1201,15
California,Los Angeles,6,37,26-05-1980,140,Unhealthy for Sensitive Groups,Ozone,06-037-1201,15
California,Los Angeles,6,37,27-05-1980,67,Moderate,Ozone,06-037-1201,15
California,Los Angeles,6,37,28-05-1980,79,Moderate,NO2,06-037-1002,15
California,Los Angeles,6,37,29-05-1980,161,Unhealthy,Ozone,06-037-7001,15
California,Los Angeles,6,37,30-05-1980,100,Moderate,NO2,06-037-7001,15
California,Los Angeles,6,37,31-05-1980,68,Moderate,NO2,06-037-1002,15
California,Los Angeles,6,37,01-06-1980,119,Unhealthy for Sensitive Groups,Ozone,06-037-7001,15
California,Los Angeles,6,37,02-06-1980,89,Moderate,NO2,06-037-0002,15
California,Los Angeles,6,37,03-06-1980,105,Unhealthy for Sensitive Groups,Ozone,06-037-1201,15
California,Los Angeles,6,37,04-06-1980,190,Unhealthy,Ozone,06-037-1004,15
California,Los Angeles,6,37,05-06-1980,136,Unhealthy for Sensitive Groups,Ozone,06-037-7001,15
California,Los Angeles,6,37,06-06-1980,150,Unhealthy for Sensitive Groups,Ozone,06-037-7001,15
California,Los Angeles,6,37,07-06-1980,229,Very Unhealthy,Ozone,06-037-1401,15
California,Los Angeles,6,37,08-06-1980,244,Very Unhealthy,Ozone,06-037-1004,15
California,Los Angeles,6,37,09-06-1980,253,Very Unhealthy,Ozone,06-037-1004,15
California,Los Angeles,6,37,10-06-1980,219,Very Unhealthy,Ozone,06-037-1401,15
California,Los Angeles,6,37,11-06-1980,239,Very Unhealthy,Ozone,06-037-1004,15
California,Los Angeles,6,37,12-06-1980,190,Unhealthy,Ozone,06-037-7001,15
California,Los Angeles,6,37,13-06-1980,182,Unhealthy,Ozone,06-037-7001,15
California,Los Angeles,6,37,14-06-1980,216,Very Unhealthy,Ozone,06-037-1701,15
California,Los Angeles,6,37,15-06-1980,285,Very Unhealthy,Ozone,06-037-1002,15
California,Los Angeles,6,37,16-06-1980,254,Very Unhealthy,Ozone,06-037-1201,15
California,Los Angeles,6,37,17-06-1980,245,Very Unhealthy,Ozone,06-037-1401,15
California,Los Angeles,6,37,18-06-1980,233,Very Unhealthy,Ozone,06-037-0002,15
California,Los Angeles,6,37,19-06-1980,271,Very Unhealthy,Ozone,06-037-0002,15
California,Los Angeles,6,37,20-06-1980,244,Very Unhealthy,Ozone,06-037-1004,15
California,Los Angeles,6,37,21-06-1980,275,Very Unhealthy,Ozone,06-037-0002,15
California,Los Angeles,6,37,22-06-1980,263,Very Unhealthy,Ozone,06-037-1002,15
California,Los Angeles,6,37,23-06-1980,229,Very Unhealthy,Ozone,06-037-0002,15
California,Los Angeles,6,37,24-06-1980,214,Very Unhealthy,Ozone,06-037-7001,15
California,Los Angeles,6,37,25-06-1980,258,Very Unhealthy,Ozone,06-037-0002,15
California,Los Angeles,6,37,26-06-1980,282,Very Unhealthy,Ozone,06-037-0002,15
California,Los Angeles,6,37,27-06-1980,281,Very Unhealthy,Ozone,06-037-7001,15
California,Los Angeles,6,37,28-06-1980,213,Very Unhealthy,Ozone,06-037-1401,15
California,Los Angeles,6,37,29-06-1980,256,Very Unhealthy,Ozone,06-037-0002,15
California,Los Angeles,6,37,30-06-1980,229,Very Unhealthy,Ozone,06-037-1401,15
California,Los Angeles,6,37,01-07-1980,133,Unhealthy for Sensitive Groups,Ozone,06-037-7001,15
California,Los Angeles,6,37,02-07-1980,115,Unhealthy for Sensitive Groups,Ozone,06-037-1401,15
California,Los Angeles,6,37,03-07-1980,187,Unhealthy,Ozone,06-037-0002,15
California,Los Angeles,6,37,04-07-1980,259,Very Unhealthy,Ozone,06-037-0002,15
California,Los Angeles,6,37,05-07-1980,269,Very Unhealthy,Ozone,06-037-0002,15
California,Los Angeles,6,37,06-07-1980,240,Very Unhealthy,Ozone,06-037-1004,15
California,Los Angeles,6,37,07-07-1980,237,Very Unhealthy,Ozone,06-037-1004,15
California,Los Angeles,6,37,08-07-1980,208,Very Unhealthy,Ozone,06-037-1004,15
California,Los Angeles,6,37,09-07-1980,213,Very Unhealthy,Ozone,06-037-1701,15
California,Los Angeles,6,37,10-07-1980,234,Very Unhealthy,Ozone,06-037-0002,15
California,Los Angeles,6,37,11-07-1980,281,Very Unhealthy,Ozone,06-037-1004,15
California,Los Angeles,6,37,12-07-1980,224,Very Unhealthy,Ozone,06-037-1004,15
California,Los Angeles,6,37,13-07-1980,190,Unhealthy,Ozone,06-037-1002,15
California,Los Angeles,6,37,14-07-1980,221,Very Unhealthy,Ozone,06-037-1701,15
California,Los Angeles,6,37,15-07-1980,226,Very Unhealthy,Ozone,06-037-0002,15
California,Los Angeles,6,37,16-07-1980,242,Very Unhealthy,Ozone,06-037-1004,15
California,Los Angeles,6,37,17-07-1980,296,Very Unhealthy,Ozone,06-037-1401,15
California,Los Angeles,6,37,18-07-1980,272,Very Unhealthy,Ozone,06-037-1401,15
California,Los Angeles,6,37,19-07-1980,281,Very Unhealthy,Ozone,06-037-1401,15
California,Los Angeles,6,37,20-07-1980,261,Very Unhealthy,Ozone,06-037-1004,15
California,Los Angeles,6,37,21-07-1980,264,Very Unhealthy,Ozone,06-037-0002,15
California,Los Angeles,6,37,22-07-1980,282,Very Unhealthy,Ozone,06-037-0002,15
California,Los Angeles,6,37,23-07-1980,295,Very Unhealthy,Ozone,06-037-0002,15
California,Los Angeles,6,37,24-07-1980,291,Very Unhealthy,Ozone,06-037-1401,15
California,Los Angeles,6,37,25-07-1980,292,Very Unhealthy,Ozone,06-037-1004,15
California,Los Angeles,6,37,26-07-1980,300,Very Unhealthy,Ozone,06-037-1701,15
California,Los Angeles,6,37,27-07-1980,271,Very Unhealthy,Ozone,06-037-1701,15
California,Los Angeles,6,37,28-07-1980,279,Very Unhealthy,Ozone,06-037-1201,15
California,Los Angeles,6,37,29-07-1980,289,Very Unhealthy,Ozone,06-037-1601,15
California,Los Angeles,6,37,30-07-1980,256,Very Unhealthy,Ozone,06-037-0002,15
California,Los Angeles,6,37,31-07-1980,245,Very Unhealthy,Ozone,06-037-0002,15
California,Los Angeles,6,37,01-08-1980,291,Very Unhealthy,Ozone,06-037-1401,16
California,Los Angeles,6,37,02-08-1980,260,Very Unhealthy,Ozone,06-037-7001,16
California,Los Angeles,6,37,03-08-1980,222,Very Unhealthy,Ozone,06-037-7001,16
California,Los Angeles,6,37,04-08-1980,216,Very Unhealthy,Ozone,06-037-1401,16
California,Los Angeles,6,37,05-08-1980,213,Very Unhealthy,Ozone,06-037-1004,16
California,Los Angeles,6,37,06-08-1980,228,Very Unhealthy,Ozone,06-037-0002,16
California,Los Angeles,6,37,07-08-1980,272,Very Unhealthy,Ozone,06-037-0002,17
California,Los Angeles,6,37,08-08-1980,298,Very Unhealthy,Ozone,06-037-1004,17
California,Los Angeles,6,37,09-08-1980,291,Very Unhealthy,Ozone,06-037-0002,17
California,Los Angeles,6,37,10-08-1980,271,Very Unhealthy,Ozone,06-037-1601,17
California,Los Angeles,6,37,11-08-1980,275,Very Unhealthy,Ozone,06-037-1601,17
California,Los Angeles,6,37,12-08-1980,282,Very Unhealthy,Ozone,06-037-7001,17
California,Los Angeles,6,37,13-08-1980,233,Very Unhealthy,Ozone,06-037-7001,17
California,Los Angeles,6,37,14-08-1980,205,Very Unhealthy,Ozone,06-037-7001,17
California,Los Angeles,6,37,15-08-1980,192,Unhealthy,Ozone,06-037-7001,17
California,Los Angeles,6,37,16-08-1980,221,Very Unhealthy,Ozone,06-037-7001,17
California,Los Angeles,6,37,17-08-1980,210,Very Unhealthy,Ozone,06-037-7001,17
California,Los Angeles,6,37,18-08-1980,151,Unhealthy,Ozone,06-037-7001,17
California,Los Angeles,6,37,19-08-1980,200,Unhealthy,Ozone,06-037-7001,17
California,Los Angeles,6,37,20-08-1980,207,Very Unhealthy,Ozone,06-037-1401,17
California,Los Angeles,6,37,21-08-1980,259,Very Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,22-08-1980,205,Very Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,23-08-1980,205,Very Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,24-08-1980,205,Very Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,25-08-1980,174,Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,26-08-1980,214,Very Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,27-08-1980,210,Very Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,28-08-1980,234,Very Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,29-08-1980,232,Very Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,30-08-1980,229,Very Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,31-08-1980,207,Very Unhealthy,Ozone,06-037-1401,17
California,Los Angeles,6,37,01-09-1980,232,Very Unhealthy,Ozone,06-037-1401,17
California,Los Angeles,6,37,02-09-1980,249,Very Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,03-09-1980,280,Very Unhealthy,Ozone,06-037-1004,17
California,Los Angeles,6,37,04-09-1980,275,Very Unhealthy,Ozone,06-037-0002,17
California,Los Angeles,6,37,05-09-1980,258,Very Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,06-09-1980,258,Very Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,07-09-1980,79,Moderate,NO2,06-037-1002,17
California,Los Angeles,6,37,08-09-1980,115,Unhealthy for Sensitive Groups,Ozone,06-037-7001,17
California,Los Angeles,6,37,09-09-1980,156,Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,10-09-1980,200,Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,11-09-1980,279,Very Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,12-09-1980,287,Very Unhealthy,Ozone,06-037-1401,17
California,Los Angeles,6,37,13-09-1980,151,Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,14-09-1980,101,Unhealthy for Sensitive Groups,Ozone,06-037-0016,17
California,Los Angeles,6,37,15-09-1980,208,Very Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,16-09-1980,263,Very Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,17-09-1980,278,Very Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,18-09-1980,161,Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,19-09-1980,105,Unhealthy for Sensitive Groups,Ozone,06-037-1104,17
California,Los Angeles,6,37,20-09-1980,207,Very Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,21-09-1980,205,Very Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,22-09-1980,223,Very Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,23-09-1980,232,Very Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,24-09-1980,300,Very Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,25-09-1980,286,Very Unhealthy,Ozone,06-037-1701,17
California,Los Angeles,6,37,26-09-1980,254,Very Unhealthy,Ozone,06-037-1201,17
California,Los Angeles,6,37,27-09-1980,280,Very Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,28-09-1980,274,Very Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,29-09-1980,298,Very Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,30-09-1980,386,Hazardous,Ozone,06-037-0016,17
California,Los Angeles,6,37,01-10-1980,306,Hazardous,Ozone,06-037-1004,17
California,Los Angeles,6,37,02-10-1980,336,Hazardous,Ozone,06-037-0016,17
California,Los Angeles,6,37,03-10-1980,289,Very Unhealthy,Ozone,06-037-1104,17
California,Los Angeles,6,37,04-10-1980,277,Very Unhealthy,Ozone,06-037-1002,17
California,Los Angeles,6,37,05-10-1980,275,Very Unhealthy,Ozone,06-037-1401,16
California,Los Angeles,6,37,06-10-1980,262,Very Unhealthy,Ozone,06-037-1701,16
California,Los Angeles,6,37,07-10-1980,300,Very Unhealthy,Ozone,06-037-1004,16
California,Los Angeles,6,37,08-10-1980,298,Very Unhealthy,Ozone,06-037-1201,17
California,Los Angeles,6,37,09-10-1980,295,Very Unhealthy,Ozone,06-037-1401,17
California,Los Angeles,6,37,10-10-1980,277,Very Unhealthy,Ozone,06-037-1201,17
California,Los Angeles,6,37,11-10-1980,297,Very Unhealthy,Ozone,06-037-1601,16
California,Los Angeles,6,37,12-10-1980,226,Very Unhealthy,Ozone,06-037-0002,16
California,Los Angeles,6,37,13-10-1980,119,Unhealthy for Sensitive Groups,Ozone,06-037-7001,15
California,Los Angeles,6,37,14-10-1980,100,Moderate,NO2,06-037-4002,16
California,Los Angeles,6,37,15-10-1980,68,Moderate,NO2,06-037-8001,16
California,Los Angeles,6,37,16-10-1980,79,Moderate,NO2,06-037-8001,16
California,Los Angeles,6,37,17-10-1980,106,Unhealthy for Sensitive Groups,NO2,06-037-8001,17
California,Los Angeles,6,37,18-10-1980,115,Unhealthy for Sensitive Groups,CO,06-037-8001,17
California,Los Angeles,6,37,19-10-1980,112,Unhealthy for Sensitive Groups,NO2,06-037-8001,16
California,Los Angeles,6,37,20-10-1980,120,Unhealthy for Sensitive Groups,CO,06-037-8001,17
California,Los Angeles,6,37,21-10-1980,156,Unhealthy,Ozone,06-037-1106,17
California,Los Angeles,6,37,22-10-1980,164,Unhealthy,Ozone,06-037-1401,17
California,Los Angeles,6,37,23-10-1980,221,Very Unhealthy,Ozone,06-037-0016,17
California,Los Angeles,6,37,24-10-1980,234,Very Unhealthy,CO,06-037-8001,17
California,Los Angeles,6,37,25-10-1980,156,Unhealthy,Ozone,06-037-7001,16
California,Los Angeles,6,37,26-10-1980,68,Moderate,NO2,06-037-1004,16
California,Los Angeles,6,37,27-10-1980,110,Unhealthy for Sensitive Groups,NO2,06-037-1004,16
California,Los Angeles,6,37,28-10-1980,126,Unhealthy for Sensitive Groups,CO,06-037-8001,16
California,Los Angeles,6,37,29-10-1980,170,Unhealthy,CO,06-037-8001,15
California,Los Angeles,6,37,30-10-1980,128,Unhealthy for Sensitive Groups,CO,06-037-8001,17
California,Los Angeles,6,37,31-10-1980,156,Unhealthy,CO,06-037-1301,17
California,Los Angeles,6,37,01-11-1980,218,Very Unhealthy,CO,06-037-8001,16
California,Los Angeles,6,37,02-11-1980,181,Unhealthy,CO,06-037-8001,16
California,Los Angeles,6,37,03-11-1980,253,Very Unhealthy,Ozone,06-037-0016,16
California,Los Angeles,6,37,04-11-1980,234,Very Unhealthy,Ozone,06-037-1601,16
California,Los Angeles,6,37,05-11-1980,145,Unhealthy for Sensitive Groups,Ozone,06-037-1401,16
